Workload1,Workload2,workload_online,workload_offline,Thread_combination,weight_Throughput_sum,Power,Duration,Energy,selected_model_freq,online_smact,estimated_offline_smact,estimated_offline_partition,ThreadCombination_online_offline,Weighted_Thruput_Online_Offline,estimated_best_partition_throughput,actual_best_partition_throughput,estimated_to_actual_ratio,w1_optimal_percentage,w2_optimal_percentage
mobilenet_batch2-train,whisper-large-v2_batch2-inf,whisper-large-v2_batch2-inf,mobilenet_batch2-train,"(w1_10, w2_90)",56.114,94.89686241610738,299.0215,28395.41018,freq900,91.29999999999998,8.700000000000017,10,"(online_90, offline_10)",56.114,56.114,66.67899999999999,0.8415543124521965,10,90
mobilenet_batch2-train,vit_h_14_batch2-train,mobilenet_batch2-train,vit_h_14_batch2-train,"(w1_10, w2_90)",55.296,95.30104201680672,298.572,28473.89639,freq900,5.3343750000000005,94.665625,90,"(online_10, offline_90)",55.296,55.296,65.191,0.8482152444355816,10,90
mobilenet_batch2-train,mobilenet_batch2-train,mobilenet_batch2-train,mobilenet_batch2-train,"(w1_10, w2_90)",119.822,72.3570351758794,299.304,21660.39024,freq1530,4.12,95.88,90,"(online_10, offline_90)",119.822,119.822,124.494,0.9624720870082093,10,90
bert-base-cased_batch2-inf,wav2vec2-base-960h_batch2-inf,bert-base-cased_batch2-inf,wav2vec2-base-960h_batch2-inf,"(w1_90, w2_10)",37.943,95.12876046901172,299.608,28521.90851,freq300,91.17280701754386,8.82719298245614,10,"(online_90, offline_10)",37.943,37.943,37.943,1.0,90,10
bert-base-cased_batch2-inf,vit-base-patch16-224_batch2-inf,vit-base-patch16-224_batch2-inf,bert-base-cased_batch2-inf,"(w1_60, w2_40)",53.971,95.78048576214408,299.483,28705.59988,freq900,44.15744680851064,55.84255319148936,60,"(online_40, offline_60)",53.971,53.971,77.44800000000001,0.696867575663671,60,40
bert-base-cased_batch2-inf,resnet-50_batch2-inf,bert-base-cased_batch2-inf,resnet-50_batch2-inf,"(w1_90, w2_10)",72.61699999999999,98.40585284280937,299.894,29532.791230000003,freq900,88.4340425531915,11.565957446808497,10,"(online_90, offline_10)",72.61699999999999,72.61699999999999,109.086,0.665685789193847,90,10
bert-base-cased_batch2-inf,mobilenet_v2_1.0_224_batch2-inf,bert-base-cased_batch2-inf,mobilenet_v2_1.0_224_batch2-inf,"(w1_90, w2_10)",108.32,97.22135451505017,299.901,29177.61463,freq900,88.4340425531915,11.565957446808497,10,"(online_90, offline_10)",108.32,108.32,118.674,0.912752582705563,90,10
bert-base-cased_batch2-inf,bert-base-cased_batch2-train,bert-base-cased_batch2-inf,bert-base-cased_batch2-train,"(w1_90, w2_10)",37.391000000000005,96.40115577889448,299.632,28905.90098,freq300,91.17280701754386,8.82719298245614,10,"(online_90, offline_10)",37.391000000000005,37.391000000000005,37.391000000000005,1.0,90,10
bert-base-cased_batch2-inf,resnet-50_batch2-train,bert-base-cased_batch2-inf,resnet-50_batch2-train,"(w1_90, w2_10)",62.009,99.385243697479,298.647,29702.58326,freq900,88.4340425531915,11.565957446808497,10,"(online_90, offline_10)",62.009,62.009,83.703,0.7408217148728241,90,10
bert-base-cased_batch2-inf,whisper-large-v2_batch2-inf,bert-base-cased_batch2-inf,whisper-large-v2_batch2-inf,"(w1_90, w2_10)",36.404,96.08042016806722,298.665,28716.00406,freq300,91.17280701754386,8.82719298245614,10,"(online_90, offline_10)",36.404,36.404,36.404,1.0,90,10
bert-base-cased_batch2-inf,vit_h_14_batch2-train,bert-base-cased_batch2-inf,vit_h_14_batch2-train,"(w1_90, w2_10)",36.989,97.91495798319328,298.547,29254.13936,freq300,91.17280701754386,8.82719298245614,10,"(online_90, offline_10)",36.989,36.989,36.989,1.0,90,10
bert-base-cased_batch2-inf,mobilenet_batch2-train,bert-base-cased_batch2-inf,mobilenet_batch2-train,"(w1_90, w2_10)",88.19800000000001,92.67437185929649,299.653,27787.88043,freq900,88.4340425531915,11.565957446808497,10,"(online_90, offline_10)",88.19800000000001,88.19800000000001,97.291,0.9065381176059452,90,10
