Workload1,Workload2,workload_online,workload_offline,Thread_combination,weight_Throughput_sum,Power,Duration,Energy,selected_model_freq,online_smact,estimated_offline_smact,estimated_offline_partition,ThreadCombination_online_offline,Weighted_Thruput_Online_Offline,estimated_best_partition_throughput,actual_best_partition_throughput,estimated_to_actual_ratio,w1_optimal_percentage,w2_optimal_percentage
wav2vec2-base-960h_batch2-inf,whisper-large-v2_batch2-inf,wav2vec2-base-960h_batch2-inf,whisper-large-v2_batch2-inf,"(w1_80, w2_20)",41.976,183.1825448,279.721,51303.28469,freq900,82.6893617,17.3106383,20,"(online_80, offline_20)",41.976,41.976,47.034,0.892460773,80,20
mobilenet_v2_1.0_224_batch2-inf,vit_h_14_batch2-train,mobilenet_v2_1.0_224_batch2-inf,vit_h_14_batch2-train,"(w1_10, w2_90)",84.636,182.7258423,279.723,51174.799,freq1530,3.3,96.7,90,"(online_10, offline_90)",84.636,84.636,88.381,0.957626639,10,90
bert-base-cased_batch2-train,vit-base-patch16-224_batch2-inf,vit-base-patch16-224_batch2-inf,bert-base-cased_batch2-train,"(w1_70, w2_30)",60.237,185.5908408,280.099,52048.80395,freq1530,33.125,66.875,70,"(online_30, offline_70)",60.237,60.237,87.989,0.684596938,70,30
resnet-50_batch2-train,whisper-large-v2_batch2-inf,whisper-large-v2_batch2-inf,resnet-50_batch2-train,"(w1_10, w2_90)",46.693,177.0797655,299.199,53038.56853,freq900,91.3,8.7,10,"(online_90, offline_10)",46.693,46.693,58.268,0.801348939,10,90
vit_h_14_batch2-train,whisper-large-v2_batch2-inf,whisper-large-v2_batch2-inf,vit_h_14_batch2-train,"(w1_10, w2_90)",3.593,178.0011986,280.208,49940.09493,freq900,91.3,8.7,10,"(online_90, offline_10)",3.593,3.593,6.1,0.589016393,10,90
albert-base-v2_batch2-train,resnet-50_batch2-train,resnet-50_batch2-train,albert-base-v2_batch2-train,"(w1_80, w2_20)",74.995,186.7555835,279.319,52221.44477,freq1530,15.08333333,84.91666667,80,"(online_20, offline_80)",74.995,74.995,74.995,1,80,20
wav2vec2-base-960h_batch2-inf,wav2vec2-base-960h_batch2-inf,wav2vec2-base-960h_batch2-inf,wav2vec2-base-960h_batch2-inf,"(w1_80, w2_20)",53.526,186.8844086,279.713,52339.14566,freq900,82.6893617,17.3106383,20,"(online_80, offline_20)",53.526,53.526,53.624,0.99817246,80,20
vit-base-patch16-224_batch2-inf,wav2vec2-base-960h_batch2-inf,vit-base-patch16-224_batch2-inf,wav2vec2-base-960h_batch2-inf,"(w1_30, w2_70)",81.788,185.518638,279.576,51924.26495,freq1530,33.125,66.875,70,"(online_30, offline_70)",81.788,81.788,94.293,0.86738146,30,70
vit-base-patch16-224_batch2-inf,vit-base-patch16-224_batch2-inf,vit-base-patch16-224_batch2-inf,vit-base-patch16-224_batch2-inf,"(w1_30, w2_70)",124.302,180.9021147,279.462,50608.20825,freq1530,33.125,66.875,70,"(online_30, offline_70)",124.302,124.302,132.223,0.94009363,30,70
vit-base-patch16-224_batch2-inf,whisper-large-v2_batch2-inf,vit-base-patch16-224_batch2-inf,whisper-large-v2_batch2-inf,"(w1_30, w2_70)",48.242,181.2092308,299.826,54394.3996,freq1530,33.125,66.875,70,"(online_30, offline_70)",48.242,48.242,84.088,0.573708496,30,70
