Workload1,Workload2,Workload3,Thread_combination,w1_percentage,w2_percentage,w3_percentage,weight_Throughput_sum,Power,PowerCap,selected_model_freq
vit-base-patch16-224_batch2-inf,wav2vec2-base-960h_batch2-inf,whisper-large-v2_batch2-inf,"(w1_50, w2_25, w3_25)",50,25,25,78.229,185.0233388981636,200,freq1530
vit-base-patch16-224_batch2-inf,vit_h_14_batch2-train,wav2vec2-base-960h_batch2-inf,"(w1_20, w2_40, w3_40)",20,40,40,57.067,185.8516565349544,200,freq1530
vit-base-patch16-224_batch2-inf,vit_h_14_batch2-train,whisper-large-v2_batch2-inf,"(w1_50, w2_25, w3_25)",50,25,25,62.902,186.06354515050168,200,freq1530
resnet-50_batch2-inf,wav2vec2-base-960h_batch2-inf,whisper-large-v2_batch2-inf,"(w1_30, w2_35, w3_35)",30,35,35,96.491,185.0200333333333,200,freq1530
resnet-50_batch2-inf,vit-base-patch16-224_batch2-inf,wav2vec2-base-960h_batch2-inf,"(w1_20, w2_40, w3_40)",20,40,40,140.543,182.91697568389057,200,freq1530
resnet-50_batch2-inf,vit-base-patch16-224_batch2-inf,whisper-large-v2_batch2-inf,"(w1_20, w2_40, w3_40)",20,40,40,116.498,182.83496960486323,200,freq1530
resnet-50_batch2-inf,vit-base-patch16-224_batch2-inf,vit_h_14_batch2-train,"(w1_20, w2_40, w3_40)",20,40,40,116.136,183.4661550151976,200,freq1530
resnet-50_batch2-inf,resnet-50_batch2-train,wav2vec2-base-960h_batch2-inf,"(w1_30, w2_35, w3_35)",30,35,35,149.046,181.8388833333333,200,freq1530
resnet-50_batch2-inf,resnet-50_batch2-train,vit-base-patch16-224_batch2-inf,"(w1_30, w2_35, w3_35)",30,35,35,178.132,141.14866220735786,200,freq1530
resnet-50_batch2-inf,resnet-50_batch2-train,whisper-large-v2_batch2-inf,"(w1_30, w2_35, w3_35)",30,35,35,130.129,180.2843311036789,200,freq1530
resnet-50_batch2-inf,resnet-50_batch2-train,vit_h_14_batch2-train,"(w1_20, w2_40, w3_40)",20,40,40,126.194,181.77635258358663,200,freq1530
resnet-50_batch2-inf,vit_h_14_batch2-train,wav2vec2-base-960h_batch2-inf,"(w1_20, w2_40, w3_40)",20,40,40,91.815,184.9731914893617,200,freq1530
resnet-50_batch2-inf,vit_h_14_batch2-train,whisper-large-v2_batch2-inf,"(w1_40, w2_30, w3_30)",40,30,30,84.931,184.1359726443769,200,freq900
mobilenet_v2_1.0_224_batch2-inf,wav2vec2-base-960h_batch2-inf,whisper-large-v2_batch2-inf,"(w1_20, w2_40, w3_40)",20,40,40,102.017,186.20811550151976,200,freq1530
mobilenet_v2_1.0_224_batch2-inf,vit-base-patch16-224_batch2-inf,wav2vec2-base-960h_batch2-inf,"(w1_20, w2_40, w3_40)",20,40,40,149.885,184.41436170212765,200,freq1530
mobilenet_v2_1.0_224_batch2-inf,vit-base-patch16-224_batch2-inf,whisper-large-v2_batch2-inf,"(w1_20, w2_40, w3_40)",20,40,40,131.36,179.57577507598788,200,freq1530
mobilenet_v2_1.0_224_batch2-inf,vit-base-patch16-224_batch2-inf,vit_h_14_batch2-train,"(w1_20, w2_40, w3_40)",20,40,40,129.375,185.6241337386018,200,freq1530
mobilenet_v2_1.0_224_batch2-inf,resnet-50_batch2-inf,wav2vec2-base-960h_batch2-inf,"(w1_20, w2_40, w3_40)",20,40,40,171.983,181.88465045592707,200,freq1530
mobilenet_v2_1.0_224_batch2-inf,resnet-50_batch2-inf,vit-base-patch16-224_batch2-inf,"(w1_10, w2_45, w3_45)",10,45,45,193.40300000000002,147.48782608695652,200,freq1530
mobilenet_v2_1.0_224_batch2-inf,resnet-50_batch2-inf,resnet-50_batch2-train,"(w1_20, w2_40, w3_40)",20,40,40,203.493,97.6548784194529,200,freq1530
mobilenet_v2_1.0_224_batch2-inf,resnet-50_batch2-inf,whisper-large-v2_batch2-inf,"(w1_10, w2_45, w3_45)",10,45,45,150.744,179.71133779264215,200,freq1530
mobilenet_v2_1.0_224_batch2-inf,resnet-50_batch2-inf,vit_h_14_batch2-train,"(w1_20, w2_40, w3_40)",20,40,40,149.515,179.80147416413374,200,freq1530
mobilenet_v2_1.0_224_batch2-inf,resnet-50_batch2-train,wav2vec2-base-960h_batch2-inf,"(w1_20, w2_40, w3_40)",20,40,40,159.701,182.7339209726444,200,freq1530
mobilenet_v2_1.0_224_batch2-inf,resnet-50_batch2-train,vit-base-patch16-224_batch2-inf,"(w1_20, w2_40, w3_40)",20,40,40,184.961,144.54699088145895,200,freq1530
mobilenet_v2_1.0_224_batch2-inf,resnet-50_batch2-train,whisper-large-v2_batch2-inf,"(w1_10, w2_45, w3_45)",10,45,45,134.131,182.21654362416103,200,freq1530
mobilenet_v2_1.0_224_batch2-inf,resnet-50_batch2-train,vit_h_14_batch2-train,"(w1_20, w2_40, w3_40)",20,40,40,134.909,177.62785714285715,200,freq1530
mobilenet_v2_1.0_224_batch2-inf,vit_h_14_batch2-train,wav2vec2-base-960h_batch2-inf,"(w1_20, w2_40, w3_40)",20,40,40,103.563,183.9192857142857,200,freq1530
mobilenet_v2_1.0_224_batch2-inf,vit_h_14_batch2-train,whisper-large-v2_batch2-inf,"(w1_30, w2_35, w3_35)",30,35,35,88.80799999999999,182.8128929765886,200,freq1530
bert-base-cased_batch2-train,wav2vec2-base-960h_batch2-inf,whisper-large-v2_batch2-inf,"(w1_35, w2_30, w3_35)",35,30,35,26.322000000000003,187.4704849498328,200,freq900
bert-base-cased_batch2-train,vit-base-patch16-224_batch2-inf,wav2vec2-base-960h_batch2-inf,"(w1_35, w2_30, w3_35)",35,30,35,69.586,184.71446488294316,200,freq1530
bert-base-cased_batch2-train,vit-base-patch16-224_batch2-inf,whisper-large-v2_batch2-inf,"(w1_30, w2_40, w3_30)",30,40,30,61.528,183.3911705685619,200,freq1530
