JOB,GPU_MEMORY,GPU_COMPTIME,CPU_COMPTIME,device,data,model_name,load_from_ckpt,ckpt,ckpt_dir,batch_size,wandb_logging,exp_name,profile,profile_all_estimation,profile_output_dir,profile_run,lr,rand_seed,n_epoch,n_batch_per_step,metric_for_best,profile_n_epoch
imgclassification-train,1747,1129,13548,cuda,yelp_review_full,cnn,False,,ckpt,32,False,test,True,False,profile,1,5e-05,0,85,2,valid_qa_acc,2
imgclassification-train,1747,1167,14004,cuda,yelp_review_full,cnn,False,,ckpt,32,False,test,True,False,profile,1,5e-05,0,90,2,valid_qa_acc,2
imgclassification-train,1747,1224,14688,cuda,yelp_review_full,cnn,False,,ckpt,32,False,test,True,False,profile,1,5e-05,0,95,2,valid_qa_acc,2
imgclassification-train,1747,1303,15636,cuda,yelp_review_full,cnn,False,,ckpt,32,False,test,True,False,profile,1,5e-05,0,100,2,valid_qa_acc,2
imgclassification-train,1747,1360,16320,cuda,yelp_review_full,cnn,False,,ckpt,32,False,test,True,False,profile,1,5e-05,0,105,2,valid_qa_acc,2
imgclassification-train,1747,1430,17160,cuda,yelp_review_full,cnn,False,,ckpt,32,False,test,True,False,profile,1,5e-05,0,110,2,valid_qa_acc,2
imgclassification-train,1747,1496,17952,cuda,yelp_review_full,cnn,False,,ckpt,32,False,test,True,False,profile,1,5e-05,0,115,2,valid_qa_acc,2
imgclassification-train,1747,1553,18636,cuda,yelp_review_full,cnn,False,,ckpt,32,False,test,True,False,profile,1,5e-05,0,120,2,valid_qa_acc,2
imgclassification-train,1747,1651,19812,cuda,yelp_review_full,cnn,False,,ckpt,32,False,test,True,False,profile,1,5e-05,0,125,2,valid_qa_acc,2
imgclassification-train,1747,1744,20928,cuda,yelp_review_full,cnn,False,,ckpt,32,False,test,True,False,profile,1,5e-05,0,130,2,valid_qa_acc,2
imgclassification-train,1747,1738,20856,cuda,yelp_review_full,cnn,False,,ckpt,32,False,test,True,False,profile,1,5e-05,0,135,2,valid_qa_acc,2
imgclassification-train,1747,1798,21576,cuda,yelp_review_full,cnn,False,,ckpt,32,False,test,True,False,profile,1,5e-05,0,140,2,valid_qa_acc,2
imgclassification-train,1747,1908,22896,cuda,yelp_review_full,cnn,False,,ckpt,32,False,test,True,False,profile,1,5e-05,0,145,2,valid_qa_acc,2
imgclassification-train,1747,1943,23316,cuda,yelp_review_full,cnn,False,,ckpt,32,False,test,True,False,profile,1,5e-05,0,150,2,valid_qa_acc,2
imgclassification-train,1747,2004,24048,cuda,yelp_review_full,cnn,False,,ckpt,32,False,test,True,False,profile,1,5e-05,0,155,2,valid_qa_acc,2
imgclassification-train,1747,2076,24912,cuda,yelp_review_full,cnn,False,,ckpt,32,False,test,True,False,profile,1,5e-05,0,160,2,valid_qa_acc,2
imgclassification-train,1747,2139,25668,cuda,yelp_review_full,cnn,False,,ckpt,32,False,test,True,False,profile,1,5e-05,0,165,2,valid_qa_acc,2
imgclassification-train,1747,2215,26580,cuda,yelp_review_full,cnn,False,,ckpt,32,False,test,True,False,profile,1,5e-05,0,170,2,valid_qa_acc,2
imgclassification-train,1747,2296,27552,cuda,yelp_review_full,cnn,False,,ckpt,32,False,test,True,False,profile,1,5e-05,0,175,2,valid_qa_acc,2
