JOB,GPU_MEMORY,GPU_COMPTIME,CPU_COMPTIME,device,data,model_name,load_from_ckpt,ckpt,ckpt_dir,batch_size,wandb_logging,exp_name,profile,profile_all_estimation,profile_output_dir,profile_run,lr,rand_seed,n_epoch,n_batch_per_step,metric_for_best,profile_n_epoch
imgclassification-train,1747,63,756,cuda,yelp_review_full,cnn,False,,ckpt,32,False,test,True,False,profile,1,5e-05,0,5,2,valid_qa_acc,2
imgclassification-train,1747,129,1548,cuda,yelp_review_full,cnn,False,,ckpt,32,False,test,True,False,profile,1,5e-05,0,10,2,valid_qa_acc,2
imgclassification-train,1747,195,2340,cuda,yelp_review_full,cnn,False,,ckpt,32,False,test,True,False,profile,1,5e-05,0,15,2,valid_qa_acc,2
imgclassification-train,1747,263,3156,cuda,yelp_review_full,cnn,False,,ckpt,32,False,test,True,False,profile,1,5e-05,0,20,2,valid_qa_acc,2
imgclassification-train,1747,325,3900,cuda,yelp_review_full,cnn,False,,ckpt,32,False,test,True,False,profile,1,5e-05,0,25,2,valid_qa_acc,2
imgclassification-train,1747,392,4704,cuda,yelp_review_full,cnn,False,,ckpt,32,False,test,True,False,profile,1,5e-05,0,30,2,valid_qa_acc,2
imgclassification-train,1747,461,5532,cuda,yelp_review_full,cnn,False,,ckpt,32,False,test,True,False,profile,1,5e-05,0,35,2,valid_qa_acc,2
imgclassification-train,1747,528,6336,cuda,yelp_review_full,cnn,False,,ckpt,32,False,test,True,False,profile,1,5e-05,0,40,2,valid_qa_acc,2
imgclassification-train,1747,588,7056,cuda,yelp_review_full,cnn,False,,ckpt,32,False,test,True,False,profile,1,5e-05,0,45,2,valid_qa_acc,2
imgclassification-train,1747,633,7596,cuda,yelp_review_full,cnn,False,,ckpt,32,False,test,True,False,profile,1,5e-05,0,50,2,valid_qa_acc,2
imgclassification-train,1747,707,8484,cuda,yelp_review_full,cnn,False,,ckpt,32,False,test,True,False,profile,1,5e-05,0,55,2,valid_qa_acc,2
imgclassification-train,1747,797,9564,cuda,yelp_review_full,cnn,False,,ckpt,32,False,test,True,False,profile,1,5e-05,0,60,2,valid_qa_acc,2
imgclassification-train,1747,863,10356,cuda,yelp_review_full,cnn,False,,ckpt,32,False,test,True,False,profile,1,5e-05,0,65,2,valid_qa_acc,2
imgclassification-train,1747,926,11112,cuda,yelp_review_full,cnn,False,,ckpt,32,False,test,True,False,profile,1,5e-05,0,70,2,valid_qa_acc,2
imgclassification-train,1747,957,11484,cuda,yelp_review_full,cnn,False,,ckpt,32,False,test,True,False,profile,1,5e-05,0,75,2,valid_qa_acc,2
imgclassification-train,1747,1033,12396,cuda,yelp_review_full,cnn,False,,ckpt,32,False,test,True,False,profile,1,5e-05,0,80,2,valid_qa_acc,2
