JOB,GPU_MEMORY,GPU_COMPTIME,CPU_COMPTIME,device,data,model_name,load_from_ckpt,ckpt,ckpt_dir,batch_size,wandb_logging,exp_name,profile,profile_all_estimation,profile_output_dir,profile_run,lr,rand_seed,n_epoch,n_batch_per_step,metric_for_best,profile_n_epoch
imgclassification-train,1747,13,156,cuda,yelp_review_full,cnn,False,,ckpt,32,False,test,True,False,profile,2,5e-05,0,1,2,valid_qa_acc,3
imgclassification-train,1747,38,456,cuda,yelp_review_full,cnn,False,,ckpt,32,False,test,True,False,profile,2,5e-05,0,3,2,valid_qa_acc,3
imgclassification-train,1747,62,744,cuda,yelp_review_full,cnn,False,,ckpt,32,False,test,True,False,profile,2,5e-05,0,5,2,valid_qa_acc,3
