workload1,workload2,w1_optimal_percentage,w2_optimal_percentage,max_xput_sum,w1_throughput_at_optimal,w2_throughput_at_optimal
albert-base-v2_batch2-train,albert-base-v2_batch2-train,30.0,70.0,0.159424472527476,0.105753,0.05367147252747599
bert-base-cased_batch2-inf,albert-base-v2_batch2-train,30.0,70.0,0.08749087912088,0.035529,0.051961879120879996
albert-base-v2_batch2-train,bert-base-cased_batch2-train,30.0,70.0,0.166746406593408,0.107968,0.058778406593408
cudaTensorCoreGemm_batch2-cuda_samples,albert-base-v2_batch2-train,30.0,70.0,0.073064923076924,0.02326,0.049804923076924
fastWalshTransform_batch2-cuda_samples,albert-base-v2_batch2-train,30.0,70.0,0.09175285714286,0.022053,0.06969985714285999
albert-base-v2_batch2-train,mobilenet_batch2-train,30.0,70.0,0.10073759340659341,0.084495,0.016242593406593408
mobilenet_v2_1.0_224_batch2-inf,albert-base-v2_batch2-train,20.0,80.0,0.05034785714286,0.011385,0.03896285714286
reductionMultiBlockCG_batch2-cuda_samples,albert-base-v2_batch2-train,30.0,70.0,0.055857483516483994,0.004593,0.051264483516483994
resnet-50_batch2-inf,albert-base-v2_batch2-train,30.0,70.0,0.06086980219780401,0.012256,0.04861380219780401
albert-base-v2_batch2-train,resnet-50_batch2-train,30.0,70.0,0.10747123636363637,0.089566,0.017905236363636362
sortingNetworks_batch2-cuda_samples,albert-base-v2_batch2-train,30.0,70.0,0.078822131868132,0.016935,0.06188713186813201
transpose_batch2-cuda_samples,albert-base-v2_batch2-train,30.0,70.0,0.057378296703300004,0.004352,0.0530262967033
vit-base-patch16-224_batch2-inf,albert-base-v2_batch2-train,30.0,70.0,0.07073943956044,0.021303,0.04943643956044
albert-base-v2_batch2-train,vit_h_14_batch2-train,30.0,70.0,0.319977153846156,0.110963,0.20901415384615596
wav2vec2-base-960h_batch2-inf,albert-base-v2_batch2-train,30.0,70.0,0.105010648351652,0.053152,0.05185864835165199
whisper-large-v2_batch2-inf,albert-base-v2_batch2-train,30.0,70.0,1.0300506153846158,0.978474,0.05157661538461599
bert-base-cased_batch2-inf,bert-base-cased_batch2-inf,30.0,70.0,0.049777813186816004,0.033133,0.016644813186816
bert-base-cased_batch2-inf,bert-base-cased_batch2-train,30.0,70.0,0.09327557142857201,0.036332,0.05694357142857201
cudaTensorCoreGemm_batch2-cuda_samples,bert-base-cased_batch2-inf,30.0,70.0,0.037769659340660004,0.02144,0.016329659340660004
fastWalshTransform_batch2-cuda_samples,bert-base-cased_batch2-inf,30.0,70.0,0.04430685714285999,0.020649,0.023657857142859992
bert-base-cased_batch2-inf,mobilenet_batch2-train,30.0,70.0,0.04401961764705882,0.027711,0.016308617647058824
bert-base-cased_batch2-inf,mobilenet_v2_1.0_224_batch2-inf,30.0,70.0,0.03957303571428571,0.027875,0.011698035714285715
reductionMultiBlockCG_batch2-cuda_samples,bert-base-cased_batch2-inf,30.0,70.0,0.020712725274728,0.00428,0.016432725274728
bert-base-cased_batch2-inf,resnet-50_batch2-inf,30.0,70.0,0.039969846153846154,0.028226,0.011743846153846153
bert-base-cased_batch2-inf,resnet-50_batch2-train,30.0,70.0,0.047189714285714286,0.029517,0.017672714285714285
sortingNetworks_batch2-cuda_samples,bert-base-cased_batch2-inf,30.0,70.0,0.036433076923079996,0.016048,0.02038507692308
transpose_batch2-cuda_samples,bert-base-cased_batch2-inf,30.0,70.0,0.02101863736264,0.003981,0.01703763736264
bert-base-cased_batch2-inf,vit-base-patch16-224_batch2-inf,30.0,70.0,0.042361912087915995,0.029027,0.013334912087915998
bert-base-cased_batch2-inf,vit_h_14_batch2-train,30.0,70.0,0.24063251648352,0.037497,0.20313551648352
bert-base-cased_batch2-inf,wav2vec2-base-960h_batch2-inf,30.0,70.0,0.057867780219784004,0.031897,0.025970780219784002
bert-base-cased_batch2-inf,whisper-large-v2_batch2-inf,30.0,70.0,0.47725563736264,0.032168,0.44508763736264
bert-base-cased_batch2-train,bert-base-cased_batch2-train,30.0,70.0,0.174290560439564,0.114916,0.05937456043956401
