workload1,workload2,w1_optimal_percentage,w2_optimal_percentage,max_xput_sum,w1_throughput_at_optimal,w2_throughput_at_optimal
cudaTensorCoreGemm_batch2-cuda_samples,vit_h_14_batch2-train,30.0,70.0,1.177652351648352,0.07278,1.1048723516483518
cudaTensorCoreGemm_batch2-cuda_samples,wav2vec2-base-960h_batch2-inf,30.0,70.0,0.22316651648351998,0.070982,0.15218451648352
cudaTensorCoreGemm_batch2-cuda_samples,whisper-large-v2_batch2-inf,30.0,70.0,2.589381263736264,0.070299,2.519082263736264
fastWalshTransform_batch2-cuda_samples,mobilenet_batch2-train,30.0,70.0,0.129458241758244,0.106998,0.022460241758244
fastWalshTransform_batch2-cuda_samples,mobilenet_v2_1.0_224_batch2-inf,30.0,70.0,0.11974641758241758,0.105753,0.01399341758241758
fastWalshTransform_batch2-cuda_samples,resnet-50_batch2-inf,30.0,70.0,0.128710381818184,0.105988,0.022722381818184
fastWalshTransform_batch2-cuda_samples,resnet-50_batch2-train,30.0,70.0,0.15034927472527598,0.108026,0.042323274725276
fastWalshTransform_batch2-cuda_samples,vit-base-patch16-224_batch2-inf,30.0,70.0,0.157423923076924,0.106906,0.050517923076924
fastWalshTransform_batch2-cuda_samples,vit_h_14_batch2-train,30.0,70.0,1.254844956043956,0.108731,1.1461139560439562
fastWalshTransform_batch2-cuda_samples,wav2vec2-base-960h_batch2-inf,30.0,70.0,0.265375472527476,0.107147,0.158228472527476
fastWalshTransform_batch2-cuda_samples,whisper-large-v2_batch2-inf,30.0,70.0,2.8218562417582405,0.10755,2.7143062417582406
mobilenet_batch2-train,mobilenet_batch2-train,30.0,70.0,0.04347557142857143,0.023594,0.01988157142857143
mobilenet_v2_1.0_224_batch2-inf,mobilenet_batch2-train,30.0,70.0,0.035568802197802195,0.015314,0.020254802197802197
reductionMultiBlockCG_batch2-cuda_samples,mobilenet_batch2-train,30.0,70.0,0.03718324175824175,0.01627,0.020913241758241757
resnet-50_batch2-inf,mobilenet_batch2-train,40.0,60.0,0.046750769230769235,0.025495,0.02125576923076923
mobilenet_batch2-train,resnet-50_batch2-train,30.0,70.0,0.063627703296704,0.024593,0.039034703296704
sortingNetworks_batch2-cuda_samples,mobilenet_batch2-train,30.0,70.0,0.114373582417584,0.093067,0.021306582417584
transpose_batch2-cuda_samples,mobilenet_batch2-train,30.0,70.0,0.040592791208792,0.019228,0.021364791208792002
vit-base-patch16-224_batch2-inf,mobilenet_batch2-train,30.0,70.0,0.110071615384616,0.089453,0.020618615384616
mobilenet_batch2-train,vit_h_14_batch2-train,30.0,70.0,1.1290187692307723,0.025361,1.1036577692307723
wav2vec2-base-960h_batch2-inf,mobilenet_batch2-train,30.0,70.0,0.320315989010992,0.298597,0.021718989010992
whisper-large-v2_batch2-inf,mobilenet_batch2-train,30.0,70.0,5.1753237802197845,5.154639,0.020684780219784
mobilenet_v2_1.0_224_batch2-inf,mobilenet_v2_1.0_224_batch2-inf,30.0,70.0,0.02976662637362637,0.015985,0.013781626373626373
reductionMultiBlockCG_batch2-cuda_samples,mobilenet_v2_1.0_224_batch2-inf,30.0,70.0,0.030361164835164836,0.016542,0.013819164835164835
mobilenet_v2_1.0_224_batch2-inf,resnet-50_batch2-inf,30.0,70.0,0.038256800000003,0.015764,0.022492800000002998
mobilenet_v2_1.0_224_batch2-inf,resnet-50_batch2-train,30.0,70.0,0.054539648351651995,0.015415,0.039124648351652
sortingNetworks_batch2-cuda_samples,mobilenet_v2_1.0_224_batch2-inf,30.0,70.0,0.10632919780219781,0.092421,0.013908197802197802
transpose_batch2-cuda_samples,mobilenet_v2_1.0_224_batch2-inf,30.0,70.0,0.033171252747252744,0.019142,0.014029252747252747
