workload1,workload2,w1_optimal_percentage,w2_optimal_percentage,max_xput_sum,w1_throughput_at_optimal,w2_throughput_at_optimal
transpose_batch2-cuda_samples,bert-base-cased_batch2-inf,50.0,50.0,327.05449090909093,294.646,32.40849090909091
bert-base-cased_batch2-inf,vit-base-patch16-224_batch2-inf,60.0,40.0,85.20616666666666,40.257,44.94916666666667
bert-base-cased_batch2-inf,vit_h_14_batch2-train,80.0,20.0,52.42671428571428,51.201,1.225714285714286
bert-base-cased_batch2-inf,wav2vec2-base-960h_batch2-inf,60.0,40.0,57.205,39.828,17.377
bert-base-cased_batch2-inf,whisper-large-v2_batch2-inf,60.0,40.0,41.03234545454546,40.003,1.0293454545454561
bert-base-cased_batch2-train,bert-base-cased_batch2-train,60.0,40.0,19.304854545454546,11.485,7.819854545454547
cudaTensorCoreGemm_batch2-cuda_samples,bert-base-cased_batch2-train,80.0,20.0,107.19074545454545,102.669,4.5217454545454565
fastWalshTransform_batch2-cuda_samples,bert-base-cased_batch2-train,50.0,50.0,59.23341818181818,50.713,8.520418181818183
bert-base-cased_batch2-train,mobilenet_batch2-train,60.0,40.0,74.83158571428571,12.1,62.731585714285714
mobilenet_v2_1.0_224_batch2-inf,bert-base-cased_batch2-train,20.0,80.0,98.8255,84.036,14.7895
reductionMultiBlockCG_batch2-cuda_samples,bert-base-cased_batch2-train,50.0,50.0,333.05863636363637,323.173,9.885636363636364
resnet-50_batch2-inf,bert-base-cased_batch2-train,40.0,60.0,92.339,80.294,12.045
bert-base-cased_batch2-train,resnet-50_batch2-train,50.0,50.0,61.423492857142854,10.045,51.37849285714285
sortingNetworks_batch2-cuda_samples,bert-base-cased_batch2-train,50.0,50.0,71.00938181818182,62.0,9.009381818181819
transpose_batch2-cuda_samples,bert-base-cased_batch2-train,50.0,50.0,286.2325824175824,276.611,9.621582417582419
vit-base-patch16-224_batch2-inf,bert-base-cased_batch2-train,50.0,50.0,62.17083636363636,52.083,10.087836363636363
bert-base-cased_batch2-train,vit_h_14_batch2-train,60.0,40.0,13.652,11.398,2.254
wav2vec2-base-960h_batch2-inf,bert-base-cased_batch2-train,80.0,20.0,36.5185,32.114,4.404500000000003
whisper-large-v2_batch2-inf,bert-base-cased_batch2-train,60.0,40.0,9.7066,1.496,8.2106
cudaTensorCoreGemm_batch2-cuda_samples,mobilenet_batch2-train,80.0,20.0,170.56063235294118,107.759,62.801632352941176
cudaTensorCoreGemm_batch2-cuda_samples,mobilenet_v2_1.0_224_batch2-inf,80.0,20.0,187.40601960784312,106.838,80.56801960784314
cudaTensorCoreGemm_batch2-cuda_samples,resnet-50_batch2-inf,80.0,20.0,166.59914285714285,106.383,60.21614285714285
cudaTensorCoreGemm_batch2-cuda_samples,resnet-50_batch2-train,80.0,20.0,148.5248,101.833,46.6918
cudaTensorCoreGemm_batch2-cuda_samples,vit-base-patch16-224_batch2-inf,80.0,20.0,134.0924,106.61,27.482400000000002
cudaTensorCoreGemm_batch2-cuda_samples,vit_h_14_batch2-train,80.0,20.0,104.12771428571429,102.881,1.246714285714286
cudaTensorCoreGemm_batch2-cuda_samples,wav2vec2-base-960h_batch2-inf,80.0,20.0,113.85042857142857,104.603,9.247428571428571
cudaTensorCoreGemm_batch2-cuda_samples,whisper-large-v2_batch2-inf,80.0,20.0,105.36329090909092,104.822,0.5412909090909119
fastWalshTransform_batch2-cuda_samples,mobilenet_batch2-train,50.0,50.0,117.37192307692308,56.358,61.01392307692308
fastWalshTransform_batch2-cuda_samples,mobilenet_v2_1.0_224_batch2-inf,50.0,50.0,140.9836923076923,56.154,84.82969230769231
fastWalshTransform_batch2-cuda_samples,resnet-50_batch2-inf,50.0,50.0,130.21179999999998,55.497,74.7148
fastWalshTransform_batch2-cuda_samples,resnet-50_batch2-train,50.0,50.0,104.81139999999999,52.65,52.1614
fastWalshTransform_batch2-cuda_samples,vit-base-patch16-224_batch2-inf,50.0,50.0,97.58478021978021,54.563,43.02178021978022
fastWalshTransform_batch2-cuda_samples,vit_h_14_batch2-train,50.0,50.0,52.84807843137254,50.425,2.4230784313725477
fastWalshTransform_batch2-cuda_samples,wav2vec2-base-960h_batch2-inf,50.0,50.0,71.32143571428571,53.021,18.30043571428571
fastWalshTransform_batch2-cuda_samples,whisper-large-v2_batch2-inf,50.0,50.0,53.801686274509805,52.737,1.064686274509804
mobilenet_batch2-train,mobilenet_batch2-train,20.0,80.0,112.9241142857143,52.265,60.65911428571429
mobilenet_v2_1.0_224_batch2-inf,mobilenet_batch2-train,20.0,80.0,142.5210989010989,85.304,57.2170989010989
reductionMultiBlockCG_batch2-cuda_samples,mobilenet_batch2-train,50.0,50.0,464.1789450549451,402.366,61.81294505494506
resnet-50_batch2-inf,mobilenet_batch2-train,40.0,60.0,139.29917142857144,81.644,57.65517142857143
mobilenet_batch2-train,resnet-50_batch2-train,10.0,90.0,119.13597802197802,62.199,56.93697802197802
sortingNetworks_batch2-cuda_samples,mobilenet_batch2-train,50.0,50.0,128.8920989010989,66.667,62.2250989010989
transpose_batch2-cuda_samples,mobilenet_batch2-train,40.0,60.0,325.06254285714283,269.941,55.121542857142856
vit-base-patch16-224_batch2-inf,mobilenet_batch2-train,50.0,50.0,115.14649019607843,55.171,59.97549019607843
mobilenet_batch2-train,vit_h_14_batch2-train,20.0,80.0,65.32921818181818,61.069,4.26021818181818
wav2vec2-base-960h_batch2-inf,mobilenet_batch2-train,40.0,60.0,80.0445294117647,17.972,62.072529411764705
whisper-large-v2_batch2-inf,mobilenet_batch2-train,50.0,50.0,64.41427450980392,1.338,63.07627450980392
mobilenet_v2_1.0_224_batch2-inf,mobilenet_v2_1.0_224_batch2-inf,10.0,90.0,154.99919780219778,77.435,77.5641978021978
reductionMultiBlockCG_batch2-cuda_samples,mobilenet_v2_1.0_224_batch2-inf,50.0,50.0,478.05625490196076,395.317,82.73925490196078
mobilenet_v2_1.0_224_batch2-inf,resnet-50_batch2-inf,20.0,80.0,153.30925274725274,74.916,78.39325274725275
mobilenet_v2_1.0_224_batch2-inf,resnet-50_batch2-train,20.0,80.0,132.8814725274725,82.493,50.38847252747253
sortingNetworks_batch2-cuda_samples,mobilenet_v2_1.0_224_batch2-inf,50.0,50.0,149.43722857142856,65.957,83.48022857142857
transpose_batch2-cuda_samples,mobilenet_v2_1.0_224_batch2-inf,40.0,60.0,353.1996960784314,270.331,82.86869607843137
mobilenet_v2_1.0_224_batch2-inf,vit-base-patch16-224_batch2-inf,60.0,40.0,128.374,81.416,46.958
mobilenet_v2_1.0_224_batch2-inf,vit_h_14_batch2-train,50.0,50.0,87.73834545454545,84.832,2.906345454545454
mobilenet_v2_1.0_224_batch2-inf,wav2vec2-base-960h_batch2-inf,30.0,70.0,112.16996363636363,83.885,28.28496363636363
mobilenet_v2_1.0_224_batch2-inf,whisper-large-v2_batch2-inf,20.0,80.0,85.41371428571429,83.42,1.993714285714284
reductionMultiBlockCG_batch2-cuda_samples,resnet-50_batch2-inf,50.0,50.0,467.36874545454543,386.174,81.19474545454545
reductionMultiBlockCG_batch2-cuda_samples,resnet-50_batch2-train,50.0,50.0,421.3904725274725,366.987,54.40347252747253
reductionMultiBlockCG_batch2-cuda_samples,vit-base-patch16-224_batch2-inf,50.0,50.0,420.005,366.384,53.621
reductionMultiBlockCG_batch2-cuda_samples,vit_h_14_batch2-train,60.0,40.0,386.562,384.187,2.375
reductionMultiBlockCG_batch2-cuda_samples,wav2vec2-base-960h_batch2-inf,40.0,60.0,316.8318727272727,292.291,24.540872727272724
reductionMultiBlockCG_batch2-cuda_samples,whisper-large-v2_batch2-inf,50.0,50.0,354.7597272727273,353.452,1.307727272727273
resnet-50_batch2-inf,resnet-50_batch2-inf,40.0,60.0,156.36594545454545,77.656,78.70994545454545
resnet-50_batch2-inf,resnet-50_batch2-train,40.0,60.0,131.2376857142857,79.641,51.59668571428571
sortingNetworks_batch2-cuda_samples,resnet-50_batch2-inf,50.0,50.0,143.81941818181818,65.608,78.21141818181817
transpose_batch2-cuda_samples,resnet-50_batch2-inf,40.0,60.0,344.7375090909091,263.175,81.56250909090909
resnet-50_batch2-inf,vit-base-patch16-224_batch2-inf,40.0,60.0,131.4366,75.638,55.7986
resnet-50_batch2-inf,vit_h_14_batch2-train,40.0,60.0,79.69361818181818,76.357,3.3366181818181797
resnet-50_batch2-inf,wav2vec2-base-960h_batch2-inf,40.0,60.0,101.73296363636364,76.994,24.738963636363632
resnet-50_batch2-inf,whisper-large-v2_batch2-inf,40.0,60.0,82.53999999999999,80.966,1.574
resnet-50_batch2-train,resnet-50_batch2-train,30.0,70.0,110.79302197802198,54.959,55.83402197802198
sortingNetworks_batch2-cuda_samples,resnet-50_batch2-train,50.0,50.0,119.33769090909092,63.59,55.74769090909091
transpose_batch2-cuda_samples,resnet-50_batch2-train,40.0,60.0,307.63584615384616,252.385,55.250846153846155
vit-base-patch16-224_batch2-inf,resnet-50_batch2-train,50.0,50.0,107.31201098901099,53.755,53.55701098901099
resnet-50_batch2-train,vit_h_14_batch2-train,30.0,70.0,54.93596363636363,51.217,3.718963636363635
wav2vec2-base-960h_batch2-inf,resnet-50_batch2-train,30.0,70.0,68.02335164835165,13.587,54.43635164835165
whisper-large-v2_batch2-inf,resnet-50_batch2-train,60.0,40.0,57.12143956043956,1.521,55.60043956043956
sortingNetworks_batch2-cuda_samples,vit-base-patch16-224_batch2-inf,50.0,50.0,113.03,64.583,48.447
sortingNetworks_batch2-cuda_samples,vit_h_14_batch2-train,50.0,50.0,64.21321428571429,61.692,2.5212142857142874
sortingNetworks_batch2-cuda_samples,wav2vec2-base-960h_batch2-inf,50.0,50.0,81.93735,62.626,19.311349999999997
sortingNetworks_batch2-cuda_samples,whisper-large-v2_batch2-inf,50.0,50.0,64.06735714285715,62.944,1.1233571428571452
transpose_batch2-cuda_samples,vit-base-patch16-224_batch2-inf,40.0,60.0,315.71049999999997,258.736,56.9745
transpose_batch2-cuda_samples,vit_h_14_batch2-train,50.0,50.0,277.98365454545456,275.2,2.783654545454545
transpose_batch2-cuda_samples,wav2vec2-base-960h_batch2-inf,40.0,60.0,263.5228791208791,239.494,24.028879120879125
transpose_batch2-cuda_samples,whisper-large-v2_batch2-inf,50.0,50.0,296.20285454545456,294.951,1.251854545454546
vit-base-patch16-224_batch2-inf,vit-base-patch16-224_batch2-inf,50.0,50.0,109.292,54.648,54.644
vit-base-patch16-224_batch2-inf,vit_h_14_batch2-train,50.0,50.0,54.72585454545454,51.861,2.864854545454545
vit-base-patch16-224_batch2-inf,wav2vec2-base-960h_batch2-inf,50.0,50.0,74.63096363636363,53.461,21.169963636363637
vit-base-patch16-224_batch2-inf,whisper-large-v2_batch2-inf,50.0,50.0,55.63514285714286,54.351,1.2841428571428581
vit_h_14_batch2-train,vit_h_14_batch2-train,40.0,60.0,5.4003454545454534,2.218,3.182345454545454
wav2vec2-base-960h_batch2-inf,vit_h_14_batch2-train,80.0,20.0,33.27771428571428,32.053,1.224714285714286
whisper-large-v2_batch2-inf,vit_h_14_batch2-train,80.0,20.0,3.215142857142858,1.975,1.240142857142858
wav2vec2-base-960h_batch2-inf,wav2vec2-base-960h_batch2-inf,30.0,70.0,41.64814545454545,13.548,28.100145454545448
wav2vec2-base-960h_batch2-inf,whisper-large-v2_batch2-inf,30.0,70.0,15.429571428571428,13.653,1.776571428571428
whisper-large-v2_batch2-inf,whisper-large-v2_batch2-inf,60.0,40.0,2.61789090909091,1.568,1.04989090909091
