workload1,workload2,w1_optimal_percentage,w2_optimal_percentage,max_xput_sum,w1_throughput_at_optimal,w2_throughput_at_optimal
albert-base-v2_batch2-train,albert-base-v2_batch2-train,60.0,40.0,20.907163636363634,12.465,8.442163636363635
bert-base-cased_batch2-inf,albert-base-v2_batch2-train,80.0,20.0,55.962163636363634,51.29,4.672163636363637
albert-base-v2_batch2-train,bert-base-cased_batch2-train,60.0,40.0,20.27370909090909,12.417,7.85670909090909
cudaTensorCoreGemm_batch2-cuda_samples,albert-base-v2_batch2-train,80.0,20.0,107.84514545454546,103.093,4.752145454545456
fastWalshTransform_batch2-cuda_samples,albert-base-v2_batch2-train,50.0,50.0,60.42445098039216,51.21,9.214450980392156
albert-base-v2_batch2-train,mobilenet_batch2-train,60.0,40.0,75.18075,13.034,62.146750000000004
mobilenet_v2_1.0_224_batch2-inf,albert-base-v2_batch2-train,50.0,50.0,101.25699999999999,90.252,11.004999999999999
reductionMultiBlockCG_batch2-cuda_samples,albert-base-v2_batch2-train,50.0,50.0,338.91705454545456,328.266,10.651054545454546
resnet-50_batch2-inf,albert-base-v2_batch2-train,40.0,60.0,93.835,80.856,12.979
albert-base-v2_batch2-train,resnet-50_batch2-train,60.0,40.0,68.30199999999999,12.6,55.702
sortingNetworks_batch2-cuda_samples,albert-base-v2_batch2-train,50.0,50.0,72.04687272727273,62.312,9.734872727272728
transpose_batch2-cuda_samples,albert-base-v2_batch2-train,50.0,50.0,291.27074725274724,280.895,10.375747252747253
vit-base-patch16-224_batch2-inf,albert-base-v2_batch2-train,50.0,50.0,63.501836363636365,52.635,10.866836363636365
albert-base-v2_batch2-train,vit_h_14_batch2-train,60.0,40.0,14.597,12.324,2.273
wav2vec2-base-960h_batch2-inf,albert-base-v2_batch2-train,80.0,20.0,36.90752727272727,32.208,4.699527272727276
whisper-large-v2_batch2-inf,albert-base-v2_batch2-train,60.0,40.0,10.247309090909091,1.507,8.740309090909092
bert-base-cased_batch2-inf,bert-base-cased_batch2-inf,60.0,40.0,66.80030909090908,39.9,26.90030909090909
bert-base-cased_batch2-inf,bert-base-cased_batch2-train,60.0,40.0,46.715890909090916,38.621,8.09489090909091
cudaTensorCoreGemm_batch2-cuda_samples,bert-base-cased_batch2-inf,80.0,20.0,118.4462,104.167,14.279199999999996
fastWalshTransform_batch2-cuda_samples,bert-base-cased_batch2-inf,50.0,50.0,81.70807843137256,53.101,28.607078431372553
bert-base-cased_batch2-inf,mobilenet_batch2-train,60.0,40.0,103.68477142857142,40.897,62.787771428571425
bert-base-cased_batch2-inf,mobilenet_v2_1.0_224_batch2-inf,60.0,40.0,128.807,40.838,87.969
reductionMultiBlockCG_batch2-cuda_samples,bert-base-cased_batch2-inf,40.0,60.0,321.182,281.593,39.589
bert-base-cased_batch2-inf,resnet-50_batch2-inf,60.0,40.0,122.074,40.441,81.633
bert-base-cased_batch2-inf,resnet-50_batch2-train,60.0,40.0,94.78871428571429,39.506,55.28271428571429
sortingNetworks_batch2-cuda_samples,bert-base-cased_batch2-inf,50.0,50.0,93.69502857142857,63.59,30.10502857142857
